gdof_sigma,gdof_u,gdof_d,elastic_formulation,history_source,max_d,max_H,R,residual_force,R_dir,load,load_dir,linear_solver_elastic,linear_solver_phase,linear_niter_elastic,linear_niter_phase,linear_converged_elastic,linear_converged_phase,linear_cb_res_elastic,linear_cb_res_phase,linear_res_elastic,linear_res_phase,t_step_s,t_init_damage_s,t_elastic_assemble_s,t_elastic_solve_s,t_phase_assemble_s,t_phase_solve_s,d_relaxation,stagger_tol,reaction_y,disp_y,step,iters,converged,err_u,err_d
1542675,1119744,187489,standard,from_u,1.0,121.20673530069152,-0.2562632206118359,-0.2562632206118359,y,0.0018000000000000002,y,solve_direct_pardiso,gmres-phase,1,210,True,True,nan,1.8803406951304263e-10,0.00025051959142485504,1.8803406962381786e-10,2535.5128497481346,4.425644874572754e-06,179.02291230857372,2288.3741192668676,12.13654212653637,51.11945819854736,1.0,1e-05,-0.2562632206118359,0.0018000000000000002,18,16,True,2.4007600052069726e-07,5.52229222099995e-06
1542675,1119744,187489,standard,from_u,1.0,121.20673530069152,-0.2562632206118359,-0.2562632206118359,y,0.0018000000000000002,y,solve_direct_pardiso,gmres-phase,1,210,True,True,nan,1.8803406951304263e-10,0.00025051959142485504,1.8803406962381786e-10,2600.5454107522964,4.187226295471191e-06,185.40391731262207,2348.194083124399,11.716959103941917,50.53485944867134,1.0,1e-05,-0.2562632206118359,0.0018000000000000002,18,16,True,2.4007600052069726e-07,5.52229222099995e-06
1542675,1119744,187489,standard,from_u,1.0,150.28400302700913,-0.2696699083013149,-0.2696699083013149,y,0.0019,y,solve_direct_pardiso,gmres-phase,1,216,True,True,nan,1.227155667742166e-10,3.35543534526084e-05,1.2271555924817385e-10,2218.1422859430313,4.589557647705078e-06,157.27011743187904,2000.3622348308563,10.812073051929474,45.1971225887537,1.0,1e-05,-0.2696699083013149,0.0019,19,14,True,1.0240848784744812e-06,9.179567562184736e-06
1542675,1119744,187489,standard,from_u,1.0,150.28400302700913,-0.2696699083013149,-0.2696699083013149,y,0.0019,y,solve_direct_pardiso,gmres-phase,1,216,True,True,nan,1.227155667742166e-10,3.35543534526084e-05,1.2271555924817385e-10,2266.469927355647,4.678964614868164e-06,161.71916019916534,2044.3820083737373,10.469003051519394,45.331371426582336,1.0,1e-05,-0.2696699083013149,0.0019,19,14,True,1.0240848784744812e-06,9.179567562184736e-06
1542675,1119744,187489,standard,from_u,1.0,178.94826759126687,-0.28296587003475066,-0.28296587003475066,y,0.002,y,solve_direct_pardiso,gmres-phase,1,187,True,True,nan,3.919809919841543e-09,1.4581096899091322e-05,3.919809921701159e-09,3157.6926651597023,4.842877388000488e-06,217.5500173419714,2856.9524317234755,14.526668339967728,63.19838459789753,1.0,1e-05,-0.28296587003475066,0.002,20,19,True,1.635409765377284e-06,4.5464261300441495e-07
1542675,1119744,187489,standard,from_u,1.0,178.94826759126687,-0.28296587003475066,-0.28296587003475066,y,0.002,y,solve_direct_pardiso,gmres-phase,1,187,True,True,nan,3.919809919841543e-09,1.4581096899091322e-05,3.919809921701159e-09,2970.2196083813906,4.231929779052734e-06,214.43457838892937,2671.120817154646,20.346353709697723,59.12814536690712,1.0,1e-05,-0.28296587003475066,0.002,20,19,True,1.635409765377284e-06,4.5464261300441495e-07
1542675,1119744,187489,standard,from_u,1.0,206.00331833109578,-0.2961472127069315,-0.2961472127069315,y,0.0021000000000000003,y,solve_direct_pardiso,gmres-phase,1,214,True,True,nan,1.7459411922623027e-10,4.606108365730581e-07,1.7459411779360525e-10,2502.786792472005,4.991888999938965e-06,170.8902861624956,2263.6200851649046,11.177688986063004,52.15952958166599,1.0,1e-05,-0.2961472127069315,0.0021000000000000003,21,15,True,2.0143754647945915e-06,6.135185934379554e-06
1542675,1119744,187489,standard,from_u,1.0,206.00331833109578,-0.2961472127069315,-0.2961472127069315,y,0.0021000000000000003,y,solve_direct_pardiso,gmres-phase,1,214,True,True,nan,1.7459411922623027e-10,4.606108365730581e-07,1.7459411779360525e-10,2317.9035657197237,5.081295967102051e-06,168.87112551927567,2079.3594351410866,16.923294708132744,48.25539331138134,1.0,1e-05,-0.2961472127069315,0.0021000000000000003,21,15,True,2.0143754647945915e-06,6.135185934379554e-06
1542675,1119744,187489,standard,from_u,1.0,228.97944315537245,-0.30920880998156686,-0.30920880998156686,y,0.0022,y,solve_direct_pardiso,gmres-phase,1,219,True,True,nan,1.2847826721586448e-10,4.177496084916856e-05,1.2847826402570442e-10,2598.4472158551216,4.544854164123535e-06,190.98895786702633,2330.7910399585962,17.77191662788391,54.129123866558075,1.0,1e-05,-0.30920880998156686,0.0022,22,17,True,1.0747063478729114e-06,7.642774033475211e-06
1542675,1119744,187489,standard,from_u,1.0,228.97944315537245,-0.30920880998156686,-0.30920880998156686,y,0.0022,y,solve_direct_pardiso,gmres-phase,1,219,True,True,nan,1.2847826721586448e-10,4.177496084916856e-05,1.2847826402570442e-10,2852.1219319552183,4.172325134277344e-06,196.19376918673515,2578.998959645629,12.623060300946236,59.240149185061455,1.0,1e-05,-0.30920880998156686,0.0022,22,17,True,1.0747063478729114e-06,7.642774033475211e-06
1542675,1119744,187489,standard,from_u,1.0,281.64992394820683,-0.32214250558862245,-0.32214250558862245,y,0.0023,y,solve_direct_pardiso,gmres-phase,1,217,True,True,nan,1.2181960882700171e-10,5.136841499829602e-07,1.218196074313975e-10,2940.9576277136803,4.753470420837402e-06,213.93402037024498,2640.8743881881237,20.635343089699745,60.51479481160641,1.0,1e-05,-0.32214250558862245,0.0023,23,19,True,1.365199978729342e-06,7.297879212359047e-06
1542675,1119744,187489,standard,from_u,1.0,281.64992394820683,-0.32214250558862245,-0.32214250558862245,y,0.0023,y,solve_direct_pardiso,gmres-phase,1,217,True,True,nan,1.2181960882700171e-10,5.136841499829602e-07,1.218196074313975e-10,3170.093829974532,4.380941390991211e-06,218.26442059874535,2867.186849743128,13.914302945137024,65.15396995842457,1.0,1e-05,-0.32214250558862245,0.0023,23,19,True,1.365199978729342e-06,7.297879212359047e-06
1542675,1119744,187489,standard,from_u,1.0,305.2657509598623,-0.33494112963879025,-0.33494112963879025,y,0.0024000000000000002,y,solve_direct_pardiso,gmres-phase,1,207,True,True,nan,2.8995362075363595e-10,2.2404767291312674e-10,2.8995362041674033e-10,3460.8182237297297,4.246830940246582e-06,271.06210820376873,3082.8878660798073,25.673568099737167,75.50028213858604,1.0,1e-05,-0.33494112963879025,0.0024000000000000002,24,24,True,6.239675691699363e-07,2.9049561174139036e-06
1542675,1119744,187489,standard,from_u,1.0,305.2657509598623,-0.33494112963879025,-0.33494112963879025,y,0.0024000000000000002,y,solve_direct_pardiso,gmres-phase,1,207,True,True,nan,2.8995362075363595e-10,2.2404767291312674e-10,2.8995362041674033e-10,3700.9543478786945,4.604458808898926e-06,276.5250371992588,3319.865927696228,17.6355007737875,80.83202838897705,1.0,1e-05,-0.33494112963879025,0.0024000000000000002,24,24,True,6.239675691699363e-07,2.9049561174139036e-06
1542675,1119744,187489,standard,from_u,1.0,329.84302490879094,-0.3475674594310546,-0.3475674594310546,y,0.0025,y,solve_direct_pardiso,gmres-phase,1,196,True,True,nan,7.821079535982607e-10,0.0006930962033943015,7.821079536905524e-10,4523.906199753284,4.306435585021973e-06,356.158284753561,4028.800531923771,33.477956995368004,98.56479097902775,1.0,1e-05,-0.3475674594310546,0.0025,25,31,True,5.944585923785515e-06,1.013764938105599e-06
1542675,1119744,187489,standard,from_u,1.0,329.84302490879094,-0.3475674594310546,-0.3475674594310546,y,0.0025,y,solve_direct_pardiso,gmres-phase,1,196,True,True,nan,7.821079535982607e-10,0.0006930962033943015,7.821079536905524e-10,5025.302511140704,4.9620866775512695e-06,372.4695376455784,4511.693292960525,25.069322526454926,108.96483533084393,1.0,1e-05,-0.3475674594310546,0.0025,25,31,True,5.944585923785515e-06,1.013764938105599e-06
1542675,1119744,187489,standard,from_u,1.0,353.317564927891,-0.3599834537592508,-0.3599834537592508,y,0.0026000000000000003,y,solve_direct_pardiso,gmres-phase,1,210,True,True,nan,1.9482340677727605e-10,6.169523478264921e-07,1.9482340791293622e-10,4997.190671503544,5.230307579040527e-06,382.98481284081936,4470.407102257013,26.365344986319542,110.21357315778732,1.0,1e-05,-0.3599834537592508,0.0026000000000000003,26,31,True,4.602679181418463e-06,3.850212107872075e-06
1542675,1119744,187489,standard,from_u,1.0,353.317564927891,-0.3599834537592508,-0.3599834537592508,y,0.0026000000000000003,y,solve_direct_pardiso,gmres-phase,1,210,True,True,nan,1.9482340677727605e-10,6.169523478264921e-07,1.9482340791293622e-10,4896.608562991023,4.634261131286621e-06,360.9874528795481,4398.297677010298,24.747214153409004,105.51843594014645,1.0,1e-05,-0.3599834537592508,0.0026000000000000003,26,31,True,4.602679181418463e-06,3.850212107872075e-06
1542675,1119744,187489,standard,from_u,1.0,372.5905247678499,-0.37213424587166893,-0.37213424587166893,y,0.0027,y,solve_direct_pardiso,gmres-phase,1,206,True,True,nan,2.965161815302813e-10,1.748474703966623e-05,2.965161848870316e-10,5822.253514587879,4.649162292480469e-06,442.42236879467964,5212.945356205106,29.574241757392883,129.32584463059902,1.0,1e-05,-0.37213424587166893,0.0027,27,39,True,2.589075735693341e-07,2.424985249607622e-06
1542675,1119744,187489,standard,from_u,1.0,372.5905247678499,-0.37213424587166893,-0.37213424587166893,y,0.0027,y,solve_direct_pardiso,gmres-phase,1,206,True,True,nan,2.965161815302813e-10,1.748474703966623e-05,2.965161848870316e-10,5888.027163594961,3.933906555175781e-06,440.8322337567806,5279.6077395528555,30.35370036959648,129.17464703321457,1.0,1e-05,-0.37213424587166893,0.0027,27,39,True,2.589075735693341e-07,2.424985249607622e-06
1542675,1119744,187489,standard,from_u,1.0,485.8939454848789,-0.383933005539012,-0.383933005539012,y,0.0028,y,solve_direct_pardiso,gmres-phase,1,196,True,True,nan,9.8769062117176e-11,7.394915192013544e-07,9.87690587700273e-11,5997.031813696027,4.202127456665039e-06,451.13019958138466,5381.0700384527445,30.025679349899292,126.79629534482956,1.0,1e-05,-0.383933005539012,0.0028,28,40,True,3.568663046431959e-06,9.992385124447299e-06
